Σχολή, Εξάμηνο, Ημέρα, Ώρα, Μάθημα, Καθηγητής, Χώρος, Φοιτητές
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 3, Τετάρτη, 16:00-18:00, Ρωσικά III, Ν. Δανιηλίδου, Αίθουσα 16, Τμ. Α
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 3, Τετάρτη, 17:00-19:00, Εισαγωγή στην Ευρωπαϊκή Ολοκλήρωση, Κ. Κεντρωτής, Αίθουσα 8, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 3, Τετάρτη, 20:00-22:00, Διεθνές Οικονομικό Δίκαιο και Δίκαιο Διεθνών Συναλλαγών, Ι. Τζιώνας, Αμφιθέατρο 14, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 3, Πέμπτη, 8:00-10:00, Τουρκικά III, Δ. Μαρκάτη, Αίθουσα 11, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 3, Πέμπτη, 8:00-10:00, Σερβικά III, Γ. Μπορόβας, Αίθουσα 10, Μ-Ω
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 3, Πέμπτη, 9:00-11:00, Σερβικά III, Μ. Γιέλιτς, Αίθουσα 9, Α-Κ
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 3, Πέμπτη, 11:00-13:00, Ρωσικά III, Ν. Δανιηλίδου, Αίθουσα 4, Τμ. Γ
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 3, Πέμπτη, 13:00-14:00, Ποσοτικές Μέθοδοι Κοινωνικών Επιστημών-Μαθηματικά Φροντιστήριο, Χ. Παπαπανάγος Ε. Δάνης, Εργαστήριο Η/Υ, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 3, Πέμπτη, 14:00-16:00, Ρωσικά III, Ν. Δανιηλίδου, Αίθουσα 2, Τμ. Β
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 3, Πέμπτη, 14:00-15:00, Μικροοικονομική Φροντιστήριο, Χ. Παπαπανάγος Ε. Δάνης, Εργαστήριο Η/Υ, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 3, Πέμπτη, 16:00-18:00, Ρωσικά III, Ν. Δανιηλίδου, Αίθουσα 2, Τμ. Α
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 3, Πέμπτη, 16:00-18:00, Ιστορία του Μικρασιατικού Ελληνισμού στη Νεότερη και Σύγχρονη Εποχή, Θ. Αναγνωστόπουλος, Αίθουσα 3, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 3, Πέμπτη, 18:00-20:00, Εισαγωγή στην Ευρωπαϊκή Ολοκλήρωση, Κ.Κεντρωτής, Αίθουσα 3, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 3, Παρασκευή, 8:00-10:00, Ρουμανικά III, Τ. Σούτσιου, Εργαστήριο 213, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 3, Παρασκευή, 10:00-14:00, Θεωρία Διεθνών Σχέσεων, Κ. Καραγιάννης, Αμφιθέατρο 6, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 3, Παρασκευή, 12:00-14:00, Ιστορία του Μικρασιατικού Ελληνισμού στη Νεότερη και Σύγχρονη Εποχή, Θ. Αναγνωστόπουλος, Αίθουσα 3, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 3, Παρασκευή, 13:00-15:00, Εισαγωγή στην Οικονομική Γεωγραφία (Αν. ΝΑ Ευρώπη και ΑΝ. Μεσόγειος), Δ. Καρκάνης Κυρκιλής, Αίθουσα 10, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 3, Παρασκευή, 15:00-17:00, Διεθνές Οικονομικό Δίκαιο και Δίκαιο Διεθνών Συναλλαγών, Ι. Τζιώνας, Αμφιθέατρο 14, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 3, Παρασκευή, 18:00-20:00, Εισαγωγή στην Οικονομική Γεωγραφία (Αν. ΝΑ Ευρώπη και ΑΝ. Μεσόγειος), Δ. Καρκάνης Κυρκιλής, Εργαστήριο Η/Υ, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Δευτέρα, 8:00-10:00, Ρουμανικά V, Gina Nimigean, Αίθουσα 16, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Δευτέρα, 10:00-12:00, Ρωσικά V, Α. Τρακάδας, Εργαστήριο 214, Τμ. ΠΟΛ Α
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Δευτέρα, 12:00-14:00, Ρωσικά V, Α. Τρακάδας, Εργαστήριο 214, ΟΙΚ
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Δευτέρα, 12:00-14:00, Σερβικά V, Μ. Γιέλιτς, Εργαστήριο 213, Α-Κ
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Δευτέρα, 13:00-15:00, Ανθρωπολογία της Μετανάστευσης και Διασπορικές Κοινότητες στην ΝΑ. Ευρώπη και την Εγγύς Ανατολή, Ε. Σιδέρη, Εργαστήριο 335, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Δευτέρα, 14:00-16:00, Ρωσικά V, Α. Τρακάδας, Εργαστήριο Η/Υ, ΠΟΛ Β
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Δευτέρα, 15:00-17:00, Αραβική Γλώσσα I, Γαζάλε Ρίμα, Αίθουσα 2, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Δευτέρα, 15:00-17:00, Αλβανικά I, Μ. Ντοράτσι, Εργαστήριο 213, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Δευτέρα, 17:00-19:00, Διεθνής Οικονομική I, Χ. Καρπέτης, Αίθουσα 4, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Δευτέρα, 19:00-21:00, Δίκαιο του Πολέμου, Β. Ζαλίδης, Αίθουσα 3, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Τρίτη, 8:00-10:00, Αραβική Γλώσσα I, Γαζάλε Ρίμα, Αμφιθέατρο 5, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Τρίτη, 10:00-12:00, Τουρκικά V, Δ. Μαρκάτη, Εργαστήριο 335, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Τρίτη, 10:00-12:00, Σερβικά V, Γ. Μπορόβας, Εργαστήριο Η/Υ, Μ-Ω
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Τρίτη, 11:00-13:00, Σερβικά V, Μ. Γιέλιτς, Αίθουσα 6, Α-Κ
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Τρίτη, 12:00-14:00, Modern Greek Language Beginners Level I, Δ. Δημητριάδου, Εργαστήριο 213, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Τρίτη, 13:00-17:00, Ανθρωπολογική Έρευνα στην Ελλάδα και τα Βαλκάνια, Ι. Μάνος, Αίθουσα 6, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Τρίτη, 16:00-20:00, Γυναικεία - Επιχειρηματικότητα: Δύση και Παγκόσμιος Νότος, Αικ. Σαρρή, Αίθουσα 9, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Τρίτη, 18:00-20:00, Ιστορία της Μ. Ανατολής: Θρησκεία και Πολιτική, Π. Κουργιώτης, Αμφιθέατρο 9, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Τρίτη, 20:00-22:00, Δίκαιο του Πολέμου, Β. Ζαλίδης, Αίθουσα 16, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Τετάρτη, 9:00-11:00, Ιστορία της Μ. Ανατολής: Θρησκεία και Πολιτική, Π. Κουργιώτης, Αμφιθέατρο 8, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Τετάρτη, 11:00-13:00, Σερβικά V, Γ. Μπορόβας, Αμφιθέατρο 6, Μ-Ω
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Τετάρτη, 11:00-13:00, Τουρκικά V, Δ. Μαρκάτη, Αίθουσα 11, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Τετάρτη, 12:00-14:00, Βουλγαρικά V, Στ. Φιλίποβα, Αίθουσα 3, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Τετάρτη, 13:00-17:00, Διεθνής Οργάνωση του Αθλητισμού, Ν. Ζάκος, Αίθουσα 6, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Τετάρτη, 16:00-18:00, Parties and Party Systems in Post-communist Central Europe, N. Marantzidis, Αίθουσα 3, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Τετάρτη, 17:00-19:00, Διεθνής Οικονομική I, Χ. Καρπέτης, Αμφιθέατρο 6, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Τετάρτη, 18:00-20:00, Πολιτική Επικοινωνία, Ν. Μαραντζίδης, Αίθουσα 16, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Τετάρτη, 18:00-20:00, Ανθρωπολογία της Μετανάστευσης και Διασπορικές Κοινότητες στην ΝΑ. Ευρώπη και την Εγγύς Ανατολή, Ε. Σιδέρη, Αίθουσα 3, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Τετάρτη, 20:00-22:00, Πολιτική στη Σοβ. Ένωση και στη Μετασοβιετική Ρωσία, Γ. Χρηστίδης,  Αίθουσα 3, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Πέμπτη, 8:00-10:00, Ρουμανικά V, Gina Nimigean, Αμφιθέατρο 9, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Πέμπτη, 9:00-11:00, Ρωσικά V, Α. Τρακάδας, Εργαστήριο 214, ΠΟΛ Α
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Πέμπτη, 10:00-12:00, Πολιτική στη Σοβ. Ένωση και στη Μετασοβιετική Ρωσία, Γ. Χρηστίδης, Αμφιθέατρο 5, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Πέμπτη, 10:00-12:00, Modern Greek Language Beginners Level I, Δ. Δημητριάδου, Αμφιθέατρο 9, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Πέμπτη, 11:00-13:00, Ρωσικά V, Α. Τρακάδας, Εργαστήριο 214, ΟΙΚ
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Πέμπτη, 11:00-13:00, Βουλγαρικά V, Στ. Φιλίποβα, Εργαστήριο 213, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Πέμπτη, 12:00-16:00, Institutions Organizations and Business, Δ. Κυρκιλής Α. Πουλάκης, Αίθουσα 3, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Πέμπτη, 13:00-17:00, Μουσεία και Ιδεολογία στο Χώρο των Βαλκανίων, Σ. Μαυρογένη, Αίθουσα 4, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Πέμπτη, 16:00-18:00, Parties and Party Systems in Post-communist Central Europe, N. Marantzidis, Αίθουσα 1, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Πέμπτη, 17:00-21:00, Political Economy of European Integration, Γ. Μαραγκός, Αίθουσα 2, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Πέμπτη, 18:00-20:00, Πολιτική Επικοινωνία, Ν. Μαραντζίδης, Αίθουσα 16, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Πέμπτη, 20:00-22:00, Νεότερη Ρωσική Ιστορία, Ι. Καρράς, Αίθουσα 16, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Πέμπτη, 21:00-22:00, Political Economy of European Integration, Ι. Λίτσιου Α. Νεστορούδη, Αίθουσα 2, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Παρασκευή, 8:00-10:00, Αλβανικά I, Μ. Ντοράτσι, Εργαστήριο 214, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Παρασκευή, 9:00-11:00, Εισαγωγή στην Οικονομετρία, Α. Κουλακιώτης Ε. Δάνης, Εργαστήριο Η/Υ, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Παρασκευή, 10:00-14:00, Εισαγωγή στην Χρηματοοικονομική, Α. Κουλακιώτης, Εργαστήριο Η/Υ και Αμφιθέατρο 9, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Παρασκευή, 12:00-14:00, Ρωσικά V, Α. Τρακάδας, Εργαστήριο 214, ΠΟΛ Β
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Παρασκευή, 14:00-16:00, Εισαγωγή στην Οικονομετρία, Α. Κουλακιώτης, Αμφιθέατρο 9, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Παρασκευή, 16:00-18:00, Νεότερη Ρωσική Ιστορία, Ι. Καρράς, Αίθουσα 3, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 5, Παρασκευή, 18:00-22:00, An Environmental History of the Black Sea and the Caucasus, Ι. Καρράς, Αίθουσα 3, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Δευτέρα, 10:00-12:00, Σερβική Γλώσσα: Είδη και Ανάλυση Λόγου, Γ. Μπορόβας, Αίθουσα 16, ΜΕ-Ω
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Δευτέρα, 11:00-13:00, Ρουμανική Γλώσσα: Είδη και Ανάλυση Λόγου, Gina Nimigean, Εργαστήριο 335, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Δευτέρα, 13:00-15:00, Ιστορία και Σπουδές Πολιτισμού: Ζητήματα Μεθοδολογίας και Έρευνας, Σ. Μαυρογένη Τσ. Σούτσιου, Αίθουσα 11, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Δευτέρα, 15:00-17:00, Βουλγαρική Γλώσσα: Είδη και Ανάλυση Λόγου, Στ. Φιλίποβα, Αίθουσα 16, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Δευτέρα, 15:00-17:00, Τουρκική Γλώσσα: Είδη και Ανάλυση Λόγου, Ν. Λιάζος, Αίθουσα 4, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Δευτέρα, 15:00-17:00, Σερβική Γλώσσα: Είδη και Ανάλυση Λόγου, Μ. Γιέλιτς, Αμφιθέατρο 9, Α-ΜΑ
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Δευτέρα, 17:00-19:00, Αλβανικά III, Μ. Ντοράτσι, Εργαστήριο 213, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Τρίτη, 9:00-11:00, Τουρκική Γλώσσα: Είδη και Ανάλυση Λόγου, Ν. Λιάζος, Αμφιθέατρο 6, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Τρίτη, 11:00-13:00, Ρωσική Γλώσσα: Είδη και Ανάλυση Λόγου, Σ. Μαμαλούι, Εργαστήριο 214, ΠΟΛ
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Τρίτη, 13:00-15:00, Ρωσική Γλώσσα: Είδη και Ανάλυση Λόγου, Σ. Μαμαλούι, Εργαστήριο 214, ΟΙΚ
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Τρίτη, 12:00-15:00, Διεθνής Πολιτική Οικονομία, Δ. Κυρκιλής Αθ. Πουλάκης, Αίθουσα 16, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Τρίτη, 13:00-17:00, Πόλη Μουσείο και Ιστορία, Σ. Μαυρογένη, Αίθουσα 4, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Τρίτη, 16:00-18:00, Εθνογραφίες της Τουρκίας και της Μέσης Ανατολής, Φ. Τσιμπιρίδου, Αίθουσα 3, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Τρίτη, 17:00-21:00, Ευρωπαϊκό Δίκαιο Τραπεζικών Συμβάσεων, Α. Καλλιαρέκου, Αίθουσα 8, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Τρίτη, 19:00-20:00, Διεθνής Πολιτική Οικονομία, Αθ. Πουλάκης, Αίθουσα 16, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Τετάρτη, 9:00-11:00, Ψηφιακές Μέθοδοι Κοινωνικής Έρευνας, Π. Μιχαηλίδης, Εργαστήριο Η/Υ, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Τετάρτη, 11:00-13:00, Ψηφιακές Μέθοδοι Κοινωνικής Έρευνας, Π. Μιχαηλίδης Ε. Δάνης, Εργαστήριο Η/Υ, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Τετάρτη, 10:00-14:00, Δικαιώματα του Ανθρώπου, Κ. Τσιτσελίκης, Αίθουσα 16, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Τετάρτη, 12:00-14:00, Ρωσική Γλώσσα: Είδη και Ανάλυση Λόγου, Σ. Μαμαλούι, Εργαστήριο 214, ΠΟΛ
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Τετάρτη, 14:00-16:00, Ρωσική Γλώσσα: Είδη και Ανάλυση Λόγου, Σ. Μαμαλούι, Εργαστήριο 214, ΟΙΚ
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Τετάρτη, 14:00-16:00, Εθνογραφίες της Τουρκίας και της Μέσης Ανατολής, Φ. Τσιμπιρίδου, Αίθουσα 3, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Τετάρτη, 16:00-18:00, Αλβανικά III, Μ. Ντομάτσι, Εργαστήριο 213, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Τετάρτη, 16:00-18:00, Βουλγαρική Γλώσσα: Είδη και Ανάλυση Λόγου, Στ. Φιλίποβα, Εργαστήριο 214, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Τετάρτη, 17:00-19:00, Αραβική Γλώσσα III, Γαζαλές Ρίμα, Αίθουσα 2, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Πέμπτη, 10:00-12:00, Ρουμανική Γλώσσα: Είδη και Ανάλυση Λόγου, Gina Nimigean, Αμφιθέατρο 13, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Πέμπτη, 11:00-13:00, Ρωσική Γλώσσα: Είδη και Ανάλυση Λόγου, Σ. Μαμαλούι, Εργαστήριο 214, ΟΙΚ
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Πέμπτη, 11:00-13:00, Σερβική Γλώσσα: Είδη και Ανάλυση Λόγου, Μ. Γιέλιτς, Εργαστήριο 335, Α-ΜΑ
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Πέμπτη, 12:00-14:00, Σερβική Γλώσσα: Είδη και Ανάλυση Λόγου, Γ. Μπορόβας, Αίθουσα 16, ΜΕ-Ω
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Πέμπτη, 13:00-15:00, Ρωσική Γλώσσα: Είδη και Ανάλυση Λόγου, Σ. Μαμαλούι, Εργαστήριο 214, ΠΟΛ
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Πέμπτη, 15:00-17:00, Φτώχεια και Ανάπτυξη, Δ. Καρκάνης, Εργαστήριο Η/Υ, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Πέμπτη, 18:00-20:00, Αραβική Γλώσσα III, Γαζάλε Ρίμα, Αίθουσα 1, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Πέμπτη, 18:00-22:00, Governance Institutions & Corruption in SE Europe and the Balkans, Εντεταλμένος ΕΣΠΑ, Αίθουσα 11, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Παρασκευή, 8:00-12:00, Ethnography and the City Movements and Cultural Industries, Ε. Σιδέρη, Αίθουσα 4, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Παρασκευή, 8:00-11:00, Τραπεζική και Χρηματοδότηση Συνδ/λία μαι Λ/Χ, Σ. Παπαδόπουλος, Αμφιθέατρο 7, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Παρασκευή, 12:00-14:00, Ιστορία και Σπουδές Πολιτισμού: Ζητήματα Μεθοδολογίας και Έρευνας, Σ. Μαυρογένη Τσ. Σούτσιου, Αμφιθέατρο 8, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Παρασκευή, 14:00-18:00, Κοινωνικά Κινήματα στη Μέση Ανατολή, Εμ. Καραγιάννης, Αίθουσα 16, 
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών, εξάμηνο 7, Παρασκευή, 16:00-18:00, Φτώχεια και Ανάπτυξη, Δ. Καρκάνης, Εργαστήριο Η/Υ, 
Οργάνωση και Διοίκηση Επιχειρήσεων, εξάμηνο 1, Δευτέρα, 8:00-11:00, Εισαγωγή στο Μάρκετινγκ, Γρούγιου Βασικλική, Αμφιθέατρο 8, Α-Καλ
Οργάνωση και Διοίκηση Επιχειρήσεων, εξάμηνο 1, Δευτέρα, 11:00-13:00, Μικροοικονομική, Καραγιάννη Ρωξάνη, Αίθουσα 9, Α-Καλ
Οργάνωση και Διοίκηση Επιχειρήσεων, εξάμηνο 1, Δευτέρα, 13:00-15:00, Ελληνική ως Ξένη Γλώσσα I, Καραγκούνη Αναστασία, Εργαστήριο 414, 
Οργάνωση και Διοίκηση Επιχειρήσεων, εξάμηνο 1, Τρίτη, 8:00-11:00, Εισαγωγή στο Μάνατζμεντ, Καφετζόπουλος Δημήτριος, Αμφιθέατρο 2, Καμ-Ω
Οργάνωση και Διοίκηση Επιχειρήσεων, εξάμηνο 1, Τρίτη, 11:00-13:00, Μικροοικονομική, Αλέτρος Βασίλειος, Αμφιθέατρο 2, Καμ-Ω
Οργάνωση και Διοίκηση Επιχειρήσεων, εξάμηνο 1, Τετάρτη, 10:00-12:00, Μικροοικονομική, Καραγιάννη Ρωξάνη, Αίθουσα 9, Α-Καλ
Οργάνωση και Διοίκηση Επιχειρήσεων, εξάμηνο 1, Τετάρτη, 12:00-14:00, Ελληνική ως Ξένη Γλώσσα I, Καραγκούνη Αναστασία, Εργαστήριο 414, 
Οργάνωση και Διοίκηση Επιχειρήσεων, εξάμηνο 1, Τετάρτη, 17:00-20:00, Εισαγωγή στο Μάρκετινγκ, Γρούγκου Βασιλική, Αμφιθέατρο 2, Καμ-Ω
Οργάνωση και Διοίκηση Επιχειρήσεων, εξάμηνο 1, Πέμπτη, 13:00-15:00, Στατιστική I, Κωνσταντάρας Ιωάννης, Αμφιθέατρο 2, 
Οργάνωση και Διοίκηση Επιχειρήσεων, εξάμηνο 1, Πέμπτη, 15:00-17:00, Μαθηματικά για Διοίκηση Επιχειρήσεων, Κωνσταντάρας Ιωάννης, Αμφιθέατρο 2, 
Οργάνωση και Διοίκηση Επιχειρήσεων, εξάμηνο 1, Παρασκευή, 8:00-10:00, Στατιστική I, Κωνσταντάρας Ιωάννης, Αμφιθέατρο 2, 
Οργάνωση και Διοίκηση Επιχειρήσεων, εξάμηνο 1, Παρασκευή, 10:00-12:00, Μαθηματικά για Διοίκηση Επιχειρήσεων, Κωνσταντάρας Ιωάννης, Αμφιθέατρο 2, 
Οργάνωση και Διοίκηση Επιχειρήσεων, εξάμηνο 1, Παρασκευή, 12:00-14:00, Μικροοικονομική, Αλετράς Βασίλειος, Αμφιθέατρο 2, Καμ-Ω
Οργάνωση και Διοίκηση Επιχειρήσεων, εξάμηνο 1, Παρασκευή, 16:00-19:00, Εισαγωγή στο Μάνατζμεντ, Καφετζόπουλος Δημήτριος, Αίθουσα 9, Α-Καλ
Οργάνωση και Διοίκηση Επιχειρήσεων, εξάμηνο 3, Δευτέρα, 8:00-11:00, Χρηματοοικονομικά Μαθήματα, Ελευθεριάδης Ιορδάνης, Αμφιθέατρο 2, 
Οργάνωση και Διοίκηση Επιχειρήσεων, εξάμηνο 3, Δευτέρα, 20:00-22:00, Χρηματοοικονομική Λογιστική ΙΙ, Δρογαλάς Γεώργιος, Αμφιθέατρο 2, 
Οργάνωση και Διοίκηση Επιχειρήσεων, εξάμηνο 3, Τρίτη, 8:00-11:00, Οργανωσιακή Θεωρία και Συμπεριφορά, Κάτου Αναστασία, Αίθουσα 9, Α-Καλ
Οργάνωση και Διοίκηση Επιχειρήσεων, εξάμηνο 3, Τρίτη, 11:00-13:00, Ελληνική ως Ξένη Γλώσσα III, Καραγκούνη Αναστασία, Εργαστήριο 414, 
Οργάνωση και Διοίκηση Επιχειρήσεων, εξάμηνο 3, Τρίτη, 13:00-16:00, Επιχειρησιακή Έρευνα, Γεωργίου Ανδρέας, Αμφιθέατρο 2, Α-Μα
Οργάνωση και Διοίκηση Επιχειρήσεων, εξάμηνο 3, Τρίτη, 16:00-19:00, Επιχειρησιακή Έρευνα, Παπαθανασίου Ιάσων, Αμφιθέατρο 2, Με-Ω
Οργάνωση και Διοίκηση Επιχειρήσεων, εξάμηνο 3, Τετάρτη, 11:00-14:00, Συμπεριφορά Καταναλωτή, Ανδρονικίδης Ανδρέας, Αμφιθέατρο 2, 
Οργάνωση και Διοίκηση Επιχειρήσεων, εξάμηνο 3, Τετάρτη, 20:00-22:00, Χρηματοοικονομική Λογιστική ΙΙ, Δρογαλάς Γεώργιος, Αμφιθέατρο 2, 
Οργάνωση και Διοίκηση Επιχειρήσεων, εξάμηνο 3, Πέμπτη, 8:00-11:00, Οργανωσιακή Θεωρία και Συμπεριφορά, Κάτου Αναστασία, Αμφιθέατρο 2, Καμ-Ω
